nom_arr,nom_pat,condition
"
   Ahuntsic - Cartierville
  ","
    Aire de glissade, Ahuntsic ()
   ",1
"
   Anjou
  ","
    Anneau de glace, Parc Lucie-Bruneau (PPL)
   ",1
"
   Côte-des-Neiges - Notre-Dame-de-Grâce
  ","
    Aire de glissade, Parc Confédération ()
   ",1
"
   L'Île-Bizard - Sainte-Geneviève
  ","
    Anneau de glace, Parc Eugène-Dostie (PPL)
   ",1
"
   LaSalle
  ","
    Anneau à patiner ,  parc Hayward (PPL)
   ",1
"
   Lachine
  ","
    Aire de glissade, Parc Grovehill ()
   ",1
"
   Le Plateau-Mont-Royal
  ","
    Grande patinoire avec bandes, La Fontaine (PSE)
   ",1
"
   Le Sud-Ouest
  ","
    Aire de glissade, Ignace-Bourget ()
   ",1
"
   Mercier - Hochelaga-Maisonneuve
  ","
    Patinoire avec bandes, De La Bruère (PSE)
   ",1
"
   Montréal-Nord
  ","
    Patinoire avec bandes , parc Charleroi (PSE)
   ",1
"
   Outremont
  ","
    Glissade, Parc Beaubien ()
   ",1
"
   Pierrefonds - Roxboro
  ","
    Patinoire de patin libre Ouest, Parc Alexander (PPL)
   ",1
"
   Rivière-des-Prairies - Pointe-aux-Trembles
  ","
    Aire de glissade ,Don-Bosco ()
   ",1
"
   Rosemont - La Petite-Patrie
  ","
    Aire de glissade, Du Pélican ()
   ",1
"
   Saint-Laurent
  ","
    Glissade, Parc Hartenstein ()
   ",1
"
   Saint-Léonard
  ","
    Aire de glissade, parc Coubertin ()
   ",1
"
   Verdun
  ","
    Glissade, Parc Arthur-Therrien ()
   ",1
"
   Ville-Marie
  ","
    Aire de glissade, Mont-Royal ()
   ",1
"
   Villeray-Saint-Michel - Parc-Extension
  ","
    Aire de glissade, Parc Jarry ()
   ",1
